frequency_rank,characters,pinyin
539,骆驼,luòtuo
540,溪,xī
541,挖,wā
542,蟋蟀,xīshuài
543,有些,yǒuxiē
544,留,liú
545,以,yǐ
546,家人,jiārén
547,大人,dàren
548,赶紧,gǎnjǐn
549,以前,yǐqián
550,收,shōu
551,龙,lóng
552,西瓜,xīguā
553,蛋糕,dàngāo
554,翅膀,chìbǎng
555,小心,xiǎoxīn
556,好玩,hǎowán
557,深,shēn
558,害怕,hàipà
559,国王,guówáng
560,转,zhuǎn
561,离,lí
562,身体,shēntǐ
563,猴,hòu
564,舅舅,jiùjiu
565,意思,yìsi
566,银河系,yínhéxì
567,担心,dānxīn
568,生气,shēngqì
569,赶,gǎn
570,之,zhī
571,而且,érqiě
572,东,dōng
573,万,wàn
574,墙,qiáng
575,海,hǎi
576,整,zhěng
577,敢,gǎn
578,蹦跳,bèngtiào
579,饿,è
580,需要,xūyào
581,鞋子,xiézi
582,多么,duōme
583,好吃,hàochī
584,指,zhǐ
585,蛋,dàn
586,点头,diǎntóu
587,一阵,yízhèn
588,感到,gǎndào
589,医生,yīshēng
590,决定,juédìng
591,游,yóu
592,头发,tóufa
593,门口,ménkǒu
594,装,zhuāng
595,尖,jiān
596,蓝,lán
597,飘,piāo
598,中文,Zhōngwén
599,床,chuáng
600,布,bù
601,再见,zàijiàn
602,采,cǎi
603,画画,huàhuà
604,辆,liàng
605,那样,nàyàng
606,咬,yǎo
607,流,liú
608,问题,wèntí
609,聪明,cōngming
610,尾巴,wěiba
611,游泳,yóuyǒng
612,丢,diū
613,藏,cáng
614,回去,huíqù
615,虽然,suīrán
616,从前,cóngqián
617,重要,zhòngyào
618,称,chēng
619,满,mǎn
620,燕子,yànzi
621,匹,pǐ
622,鸭,yā
623,乌鸦,wūyā
624,礼物,lǐwù
625,鸭子,yāzi
626,棕熊,zōngxióng
627,叶子,yèzi
628,上来,shànglái
629,其他,qítā
630,妖怪,yāoguài
631,米,mǐ
632,西,xī
633,仔细,zǐxì
634,叶,yè
635,伸,shēn
636,踢,tī
637,电,diàn
638,着急,zháojí
639,海边,hǎibiān
640,靠,kào
641,报告,bàogào
642,进去,jìnqù
643,日,rì
644,汽车,qìchē
645,嘀,dī
646,水果,shuǐguǒ
647,竹子,zhúzi
648,桌子,zhuōzi
649,读书,dúshū
650,工人,gōngrén
651,蛇,shé
652,草地,cǎodì
653,白菜,báicài
654,下去,xiàqù
655,总,zǒng
656,直,zhí
657,露,lù
658,累,lèi
659,果然,guǒrán
660,不久,bùjiǔ
661,继续,jìxù
662,遇到,yùdào
663,愿意,yuànyì
664,摸,mō
665,拍,pāi
